[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
502 632 18 19 4 0 100 7.105 22.542 
632 795 18 19 4 0 100 7.346 22.979 
795 1000 18 19 4 0 100 7.641 23.118 
1000 3500 18 19 4 0 100 8.238 22.131 
20 26 19 20 4 0 100 8.558 14.422 
26 32 19 20 4 0 100 8.370 15.140 
32 40 19 20 4 0 100 8.428 15.908 
40 51 19 20 4 0 100 8.355 16.678 
51 64 19 20 4 0 100 8.195 17.445 
64 80 19 20 4 0 100 8.066 18.141 
80 101 19 20 4 0 100 7.713 18.887 
101 127 19 20 4 0 100 7.489 19.588 
127 159 19 20 4 0 100 7.162 20.244 
159 200 19 20 4 0 100 7.047 20.960 
200 252 19 20 4 0 100 6.935 21.633 
252 317 19 20 4 0 100 6.913 22.422 
317 399 19 20 4 0 100 7.107 23.177 
399 502 19 20 4 0 100 7.375 23.979 
502 632 19 20 4 0 100 7.785 24.645 
632 795 19 20 4 0 100 8.273 25.105 
795 1000 19 20 4 0 100 8.514 25.145 
1000 3500 19 20 4 0 100 9.082 24.411 
[gluon]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_gluon}
20 26 0 1 4 0 100 2.641 9.591 
26 32 0 1 4 0 100 5.732 7.088 
32 40 0 1 4 0 100 5.678 5.880 
40 51 0 1 4 0 100 6.464 10.155 
51 64 0 1 4 0 100 4.153 11.700 
64 80 0 1 4 0 100 5.279 12.944 
80 101 0 1 4 0 100 4.348 15.644 
101 127 0 1 4 0 100 6.281 14.916 
127 159 0 1 4 0 100 5.285 16.856 
159 200 0 1 4 0 100 7.782 16.956 
200 252 0 1 4 0 100 19.255 18.291 
252 317 0 1 4 0 100 6.746 16.138 
317 399 0 1 4 0 100 4.390 13.002 
399 502 0 1 4 0 100 20.000 20.609 
502 632 0 1 4 0 100 20.000 19.403 
632 795 0 1 4 0 100 20.000 22.854 
795 1000 0 1 4 0 100 20.000 7.016 
1000 3500 0 1 4 0 100 20.000 26.000 
20 26 1 2 4 0 100 2.553 6.397 
26 32 1 2 4 0 100 5.921 6.974 
32 40 1 2 4 0 100 5.586 7.980 
40 51 1 2 4 0 100 1.713 24.118 
51 64 1 2 4 0 100 4.766 10.446 
64 80 1 2 4 0 100 5.674 12.344 
80 101 1 2 4 0 100 9.263 12.268 
101 127 1 2 4 0 100 6.857 14.882 
127 159 1 2 4 0 100 4.044 16.503 
159 200 1 2 4 0 100 2.857 22.885 
200 252 1 2 4 0 100 3.373 21.768 
252 317 1 2 4 0 100 2.953 26.149 
317 399 1 2 4 0 100 3.210 23.374 
399 502 1 2 4 0 100 6.800 23.047 
502 632 1 2 4 0 100 7.883 22.930 
632 795 1 2 4 0 100 5.530 19.696 
795 1000 1 2 4 0 100 20.000 21.033 
1000 3500 1 2 4 0 100 20.000 23.677 
20 26 2 3 4 0 100 5.224 6.809 
26 32 2 3 4 0 100 4.338 8.046 
32 40 2 3 4 0 100 6.685 8.395 
40 51 2 3 4 0 100 6.717 10.839 
51 64 2 3 4 0 100 6.021 11.459 
64 80 2 3 4 0 100 6.510 12.243 
80 101 2 3 4 0 100 7.663 13.882 
101 127 2 3 4 0 100 5.812 15.212 
127 159 2 3 4 0 100 6.131 16.380 
159 200 2 3 4 0 100 8.210 17.914 
200 252 2 3 4 0 100 4.313 17.672 
252 317 2 3 4 0 100 4.199 19.113 
317 399 2 3 4 0 100 5.110 21.670 
399 502 2 3 4 0 100 4.236 20.270 
502 632 2 3 4 0 100 4.005 22.328 
632 795 2 3 4 0 100 3.550 23.259 
795 1000 2 3 4 0 100 5.014 22.714 
1000 3500 2 3 4 0 100 20.000 19.086 
20 26 3 4 4 0 100 6.396 7.088 
