[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
200 252 1 2 4 0 100 9.726 20.807 
252 317 1 2 4 0 100 9.209 22.628 
317 399 1 2 4 0 100 9.038 24.396 
399 502 1 2 4 0 100 9.004 26.264 
502 632 1 2 4 0 100 8.637 28.222 
632 795 1 2 4 0 100 8.714 30.045 
795 1000 1 2 4 0 100 7.628 31.221 
1000 3500 1 2 4 0 100 7.176 32.575 
20 26 2 3 4 0 100 9.393 8.331 
26 32 2 3 4 0 100 10.086 9.246 
32 40 2 3 4 0 100 10.213 10.205 
40 51 2 3 4 0 100 10.532 11.329 
51 64 2 3 4 0 100 10.755 12.520 
64 80 2 3 4 0 100 10.743 13.757 
80 101 2 3 4 0 100 10.789 15.159 
101 127 2 3 4 0 100 10.527 16.656 
127 159 2 3 4 0 100 10.424 18.164 
159 200 2 3 4 0 100 10.399 19.824 
200 252 2 3 4 0 100 10.142 21.519 
252 317 2 3 4 0 100 9.819 23.396 
317 399 2 3 4 0 100 9.518 25.246 
399 502 2 3 4 0 100 9.050 27.098 
502 632 2 3 4 0 100 9.038 28.887 
632 795 2 3 4 0 100 8.808 30.755 
795 1000 2 3 4 0 100 8.744 32.306 
1000 3500 2 3 4 0 100 8.046 34.137 
20 26 3 4 4 0 100 10.011 9.066 
26 32 3 4 4 0 100 10.514 10.009 
32 40 3 4 4 0 100 10.788 10.984 
40 51 3 4 4 0 100 11.127 12.084 
51 64 3 4 4 0 100 11.266 13.261 
64 80 3 4 4 0 100 11.426 14.545 
80 101 3 4 4 0 100 11.344 15.868 
101 127 3 4 4 0 100 11.227 17.382 
127 159 3 4 4 0 100 11.031 18.972 
159 200 3 4 4 0 100 10.751 20.570 
200 252 3 4 4 0 100 10.523 22.347 
252 317 3 4 4 0 100 10.249 24.114 
317 399 3 4 4 0 100 9.905 25.931 
399 502 3 4 4 0 100 9.715 27.931 
502 632 3 4 4 0 100 9.389 29.792 
632 795 3 4 4 0 100 8.921 31.452 
795 1000 3 4 4 0 100 9.201 33.275 
1000 3500 3 4 4 0 100 8.710 35.344 
20 26 4 5 4 0 100 10.701 9.904 
26 32 4 5 4 0 100 11.326 10.847 
32 40 4 5 4 0 100 11.424 11.779 
40 51 4 5 4 0 100 11.705 12.895 
51 64 4 5 4 0 100 11.839 14.089 
