[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
252 317 5 6 4 0 100 10.442 26.652 
317 399 5 6 4 0 100 10.127 28.661 
399 502 5 6 4 0 100 10.472 30.874 
502 632 5 6 4 0 100 9.849 32.351 
632 795 5 6 4 0 100 8.148 35.106 
795 1000 5 6 4 0 100 5.482 42.244 
1000 3500 5 6 4 0 100 4.983 47.261 
20 26 6 7 4 0 100 12.379 11.744 
26 32 6 7 4 0 100 12.949 12.697 
32 40 6 7 4 0 100 13.281 13.677 
40 51 6 7 4 0 100 13.651 14.761 
51 64 6 7 4 0 100 13.183 15.834 
64 80 6 7 4 0 100 13.985 17.280 
80 101 6 7 4 0 100 14.218 18.623 
101 127 6 7 4 0 100 13.626 19.999 
127 159 6 7 4 0 100 12.712 21.556 
159 200 6 7 4 0 100 12.100 23.474 
200 252 6 7 4 0 100 12.562 25.387 
252 317 6 7 4 0 100 11.495 27.390 
317 399 6 7 4 0 100 11.497 29.726 
399 502 6 7 4 0 100 11.156 31.455 
502 632 6 7 4 0 100 9.912 34.835 
632 795 6 7 4 0 100 8.992 36.456 
795 1000 6 7 4 0 100 8.384 41.761 
1000 3500 6 7 4 0 100 4.718 47.676 
20 26 7 8 4 0 100 14.177 12.388 
26 32 7 8 4 0 100 13.667 13.498 
32 40 7 8 4 0 100 14.613 14.294 
40 51 7 8 4 0 100 14.169 15.470 
51 64 7 8 4 0 100 14.198 16.796 
64 80 7 8 4 0 100 14.574 18.006 
80 101 7 8 4 0 100 14.120 19.319 
101 127 7 8 4 0 100 14.136 21.013 
127 159 7 8 4 0 100 14.437 22.654 
159 200 7 8 4 0 100 13.817 24.243 
200 252 7 8 4 0 100 12.351 26.264 
252 317 7 8 4 0 100 11.857 28.321 
317 399 7 8 4 0 100 11.150 30.339 
399 502 7 8 4 0 100 10.891 32.608 
502 632 7 8 4 0 100 11.226 34.596 
632 795 7 8 4 0 100 9.460 37.443 
795 1000 7 8 4 0 100 7.900 40.660 
1000 3500 7 8 4 0 100 6.046 45.114 
20 26 8 9 4 0 100 14.313 13.237 
26 32 8 9 4 0 100 14.692 14.139 
32 40 8 9 4 0 100 15.128 15.135 
40 51 8 9 4 0 100 15.134 16.315 
51 64 8 9 4 0 100 14.872 17.516 
64 80 8 9 4 0 100 14.751 18.853 
80 101 8 9 4 0 100 14.581 20.175 
101 127 8 9 4 0 100 13.809 21.687 
127 159 8 9 4 0 100 13.855 23.440 
159 200 8 9 4 0 100 13.902 25.167 
200 252 8 9 4 0 100 12.778 27.146 
252 317 8 9 4 0 100 12.595 28.805 
317 399 8 9 4 0 100 11.462 30.983 
399 502 8 9 4 0 100 11.033 33.497 
502 632 8 9 4 0 100 12.238 35.842 
632 795 8 9 4 0 100 10.196 37.816 
795 1000 8 9 4 0 100 9.625 40.428 
1000 3500 8 9 4 0 100 8.961 41.737 
20 26 9 10 4 0 100 14.770 14.091 
26 32 9 10 4 0 100 15.155 15.091 
32 40 9 10 4 0 100 15.543 16.083 
40 51 9 10 4 0 100 15.552 17.065 
51 64 9 10 4 0 100 15.267 18.259 
64 80 9 10 4 0 100 15.068 19.574 
80 101 9 10 4 0 100 15.806 21.004 
101 127 9 10 4 0 100 15.324 22.487 
127 159 9 10 4 0 100 15.052 24.125 
159 200 9 10 4 0 100 14.442 25.803 
200 252 9 10 4 0 100 13.892 27.671 
252 317 9 10 4 0 100 12.863 29.897 
317 399 9 10 4 0 100 12.031 31.953 
399 502 9 10 4 0 100 11.884 34.036 
502 632 9 10 4 0 100 11.253 37.028 
632 795 9 10 4 0 100 11.050 38.260 
795 1000 9 10 4 0 100 10.213 41.083 
1000 3500 9 10 4 0 100 10.788 43.686 
20 26 10 11 4 0 100 15.224 14.857 
26 32 10 11 4 0 100 15.460 15.870 
32 40 10 11 4 0 100 16.103 16.774 
40 51 10 11 4 0 100 16.270 17.905 
51 64 10 11 4 0 100 16.106 19.091 
64 80 10 11 4 0 100 15.596 20.300 
80 101 10 11 4 0 100 16.154 21.779 
101 127 10 11 4 0 100 15.368 23.196 
127 159 10 11 4 0 100 15.282 24.923 
159 200 10 11 4 0 100 14.546 26.678 
200 252 10 11 4 0 100 13.786 28.528 
252 317 10 11 4 0 100 13.318 30.765 
317 399 10 11 4 0 100 12.534 32.776 
399 502 10 11 4 0 100 12.036 35.101 
502 632 10 11 4 0 100 10.953 37.485 
632 795 10 11 4 0 100 10.943 39.583 
795 1000 10 11 4 0 100 10.849 41.623 
1000 3500 10 11 4 0 100 9.605 45.670 
20 26 11 12 4 0 100 16.302 15.639 
26 32 11 12 4 0 100 16.447 16.608 
32 40 11 12 4 0 100 16.460 17.621 
40 51 11 12 4 0 100 16.683 18.641 
51 64 11 12 4 0 100 16.608 19.985 
64 80 11 12 4 0 100 16.630 21.069 
80 101 11 12 4 0 100 16.898 22.459 
101 127 11 12 4 0 100 16.252 23.972 
127 159 11 12 4 0 100 16.065 25.557 
159 200 11 12 4 0 100 14.979 27.478 
200 252 11 12 4 0 100 14.913 29.228 
252 317 11 12 4 0 100 13.547 31.349 
317 399 11 12 4 0 100 13.083 33.561 
399 502 11 12 4 0 100 12.120 35.894 
502 632 11 12 4 0 100 11.629 38.421 
632 795 11 12 4 0 100 11.584 40.575 
795 1000 11 12 4 0 100 9.859 41.963 
1000 3500 11 12 4 0 100 10.030 45.836 
20 26 12 13 4 0 100 16.807 16.438 
26 32 12 13 4 0 100 17.383 17.470 
32 40 12 13 4 0 100 17.239 18.334 
40 51 12 13 4 0 100 17.129 19.434 
51 64 12 13 4 0 100 17.708 20.599 
